Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),month,day,Final_Hour
34060,39.0,5.0,18.533811,73.899315,18.573811,73.939315,2.0,2,2,2,1,1.0,0,3.0,26,3,5,12
7451,28.0,3.5,18.533811,73.899315,18.623811,73.989315,6.0,4,2,1,2,1.0,0,3.0,35,3,16,23
39377,23.0,4.8,23.359033,85.325347,23.389033,85.355347,6.0,4,0,3,3,0.0,0,3.0,13,3,13,1
31848,22.0,3.3,19.178321,72.834715,19.258321,72.914715,6.0,4,1,2,3,0.0,0,3.0,35,3,20,22
20839,27.0,4.6,21.149834,72.778666,21.169834,72.798666,2.0,2,0,3,3,1.0,0,,17,3,21,11
43401,33.0,4.7,17.429585,78.392621,17.499585,78.462621,,1,2,4,2,1.0,0,3.0,25,3,29,21
31182,38.0,4.8,19.091458,72.827808,19.151458,72.887808,5.0,3,2,3,2,0.0,0,,19,3,24,18
36570,27.0,4.4,0.0,0.0,0.11,0.11,4.0,1,1,1,2,1.0,0,3.0,36,4,6,21
27543,33.0,4.9,13.066762,80.251865,13.076762,80.261865,6.0,4,1,1,3,0.0,0,3.0,11,4,1,10
20894,33.0,4.9,12.304569,76.643622,12.344569,76.683622,1.0,3,2,3,1,0.0,0,3.0,31,4,3,15
38840,20.0,4.8,12.933284,77.615428,13.023284,77.705428,,1,2,4,2,1.0,0,3.0,17,3,20,20
17573,24.0,4.9,11.008638,76.984311,11.038638,77.014311,5.0,3,1,3,2,0.0,0,,17,4,3,18
17251,30.0,5.0,11.02091,76.940432,11.07091,76.990432,2.0,1,1,3,3,1.0,0,,28,3,21,21
30275,34.0,4.2,19.207222,72.972281,19.287222,73.052281,4.0,3,1,1,2,1.0,0,3.0,38,3,6,17
14752,37.0,4.8,17.429585,78.392621,17.449585,78.412621,4.0,2,1,3,2,1.0,0,3.0,29,3,30,12
9456,21.0,4.8,0.0,0.0,0.11,0.11,5.0,4,2,2,2,1.0,0,3.0,29,2,14,22
20990,31.0,4.5,0.0,0.0,0.06,0.06,4.0,4,2,4,1,0.0,0,3.0,18,3,28,22
8370,22.0,4.9,19.120083,72.907385,19.180083,72.967385,,1,2,1,2,0.0,0,3.0,11,3,11,20
9061,32.0,4.9,13.005801,80.250744,13.025801,80.270744,4.0,4,0,3,3,1.0,0,3.0,27,4,3,10
37902,39.0,4.9,22.745049,75.892471,22.855049,76.002471,5.0,1,0,3,3,2.0,0,3.0,42,4,6,20
2667,33.0,5.0,18.592718,73.773572,18.642718,73.823572,1.0,4,1,2,2,0.0,0,,29,3,15,22
44182,36.0,4.8,26.88842,75.800689,26.93842,75.850689,6.0,1,0,1,3,1.0,0,,24,3,24,20
37229,35.0,5.0,26.921411,75.793604,26.941411,75.813604,1.0,4,2,4,3,1.0,0,3.0,25,3,1,8
7840,34.0,5.0,18.539299,73.897902,18.549299,73.907902,6.0,2,0,3,3,1.0,0,3.0,28,3,21,11
34589,38.0,4.1,27.201725,78.007553,27.251725,78.057553,4.0,1,2,3,2,1.0,0,3.0,33,2,13,20
