,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),month,day,Final_Hour
0,36.0,4.2,30.327968,78.046106,30.397968,78.116106,4.0,1,2,2,3,3.0,0,3.0,46,2,12,22
1,21.0,4.7,10.003064,76.307589,10.043064,76.347589,1.0,2,1,3,3,1.0,0,3.0,23,2,13,15
2,23.0,4.7,18.56245,73.916619,18.65245,74.006619,2.0,3,1,1,2,1.0,0,3.0,21,3,4,17
3,34.0,4.3,30.899584,75.809346,30.919584,75.829346,2.0,4,0,4,3,0.0,0,3.0,20,2,13,9
4,24.0,4.7,26.463504,80.372929,26.593504,80.502929,4.0,1,1,2,2,1.0,0,3.0,41,2,14,20
5,29.0,4.5,19.176269,72.836721,19.266269,72.926721,2.0,1,2,4,1,1.0,0,3.0,20,4,2,20
6,35.0,4.0,12.311072,76.654878,12.351072,76.694878,,2,1,3,2,1.0,0,3.0,33,3,1,15
7,33.0,4.2,18.592718,73.773572,18.702718,73.883572,2.0,1,2,2,3,1.0,0,3.0,40,3,16,20
8,34.0,4.9,17.426228,78.407495,17.496228,78.477495,5.0,1,0,2,3,1.0,0,3.0,41,3,20,20
9,21.0,4.7,22.552672,88.352885,22.582672,88.382885,,1,0,3,3,1.0,0,,15,2,15,21
10,25.0,4.1,18.563934,73.915367,18.643935,73.995367,2.0,1,0,2,3,2.0,0,3.0,36,3,16,20
11,31.0,4.7,23.357804,85.325146,23.487804,85.455146,2.0,4,2,3,1,0.0,0,3.0,26,3,10,22
12,37.0,5.0,11.003669,76.976494,11.013669,76.986494,2.0,4,1,2,3,1.0,0,3.0,20,3,11,8
13,33.0,4.3,12.986047,80.218114,13.116047,80.348114,,1,2,3,2,1.0,0,3.0,39,3,27,19
14,25.0,4.0,19.221315,72.862381,19.261315,72.902381,5.0,2,1,4,3,1.0,0,3.0,34,3,26,12
15,29.0,4.5,13.005801,80.250744,13.115801,80.360744,6.0,3,2,3,1,1.0,0,3.0,15,3,27,18
16,27.0,5.0,26.849596,75.800512,26.879596,75.830512,1.0,1,0,2,3,0.0,0,,18,4,5,20
17,35.0,4.3,21.160522,72.771477,21.250522,72.861477,5.0,4,1,1,2,0.0,0,3.0,38,3,12,23
18,32.0,4.0,12.934179,77.615797,13.024179,77.705797,,1,0,4,3,1.0,0,3.0,47,3,16,21
19,23.0,4.8,18.51421,73.838429,18.62421,73.948429,,4,2,4,1,0.0,0,,12,4,2,23
20,31.0,4.8,11.022477,76.995667,11.052477,77.025667,2.0,4,2,1,3,1.0,0,3.0,26,4,1,22
21,36.0,4.1,21.160437,72.774209,21.210437,72.824209,1.0,4,0,1,3,1.0,0,,22,3,5,22
22,26.0,4.3,15.51315,73.78346,15.56315,73.83346,2.0,4,0,4,3,0.0,0,,21,2,11,23
23,38.0,4.9,15.561295,73.749478,15.601295,73.789478,5.0,2,1,1,2,1.0,0,,25,2,11,13
24,32.0,3.5,0.0,0.0,0.11,0.11,1.0,1,1,2,2,0.0,0,,35,3,8,21
25,32.0,4.6,18.563934,73.915367,18.693935,74.045367,5.0,4,2,1,2,1.0,0,3.0,30,4,2,22
26,33.0,4.9,18.55144,73.804855,18.62144,73.874855,6.0,3,1,2,3,1.0,0,3.0,22,3,8,19
27,20.0,4.7,18.593481,73.785901,18.633481,73.825901,,2,1,2,2,0.0,0,,10,4,3,14
28,20.0,4.8,21.173343,72.792731,21.183343,72.802731,2.0,4,2,3,2,1.0,0,3.0,19,3,30,11
29,35.0,5.0,17.451976,78.385883,17.471976,78.405883,6.0,4,2,2,2,1.0,0,,11,4,1,9
30,26.0,4.9,12.972532,77.608179,12.992532,77.628179,1.0,4,2,4,2,0.0,0,3.0,11,3,28,8
31,22.0,4.8,12.972532,77.608179,13.042532,77.678179,4.0,4,1,2,3,1.0,0,3.0,28,3,18,23
32,35.0,4.3,13.064181,80.236442,13.134181,80.306442,5.0,3,1,2,3,1.0,0,3.0,33,3,14,17
33,30.0,4.7,19.121999,72.908493,19.201999,72.988493,5.0,3,1,1,2,1.0,0,3.0,33,4,6,18
34,37.0,4.7,21.149569,72.772697,21.239569,72.862697,2.0,1,0,2,3,3.0,0,3.0,52,4,4,19
35,28.0,4.6,19.091458,72.827808,19.201458,72.937808,1.0,1,1,2,2,1.0,0,3.0,22,3,8,19
36,37.0,4.9,22.539129,88.365507,22.559129,88.385507,4.0,4,1,2,2,1.0,0,,16,2,13,10
37,23.0,4.9,19.221315,72.862381,19.281315,72.922381,6.0,1,2,1,1,0.0,0,3.0,11,3,24,21
38,27.0,4.9,12.970324,77.645748,13.030324,77.705748,,3,1,1,2,1.0,0,3.0,25,3,19,19
39,37.0,4.8,13.064181,80.236442,13.104181,80.276442,5.0,3,0,1,3,1.0,0,,26,3,9,16
40,33.0,5.0,21.175975,72.795503,21.185975,72.805503,6.0,2,2,2,2,1.0,0,3.0,18,3,19,11
41,31.0,4.9,23.369746,85.33982,23.409746,85.37982,4.0,3,1,2,3,1.0,0,3.0,16,4,3,15
42,31.0,4.8,12.914264,77.6784,13.024264,77.7884,1.0,4,2,1,2,1.0,0,3.0,23,3,25,22
43,25.0,5.0,0.0,0.0,0.03,0.03,5.0,4,0,2,3,0.0,0,3.0,15,2,13,22
44,28.0,4.8,11.003681,76.975525,11.083681,77.055525,2.0,1,0,1,3,1.0,0,3.0,36,4,4,20
